,Player,POS,year,1,2,3,4,5,6,7
19,Minnesota Vikings,DST,2018,13.0,4.0,3.0,1.0,11.0,6.0,7.0
20,New England Patriots,DST,2018,5.0,2.0,2.0,4.0,4.0,2.0,10.0
21,New Orleans Saints,DST,2018,0.0,4.0,3.0,5.0,5.0,0.0,1.0
22,New York Giants,DST,2018,2.0,0.0,5.0,1.0,3.0,1.0,0.0
23,New York Jets,DST,2018,17.0,6.0,4.0,5.0,5.0,10.0,1.0
24,Oakland Raiders,DST,2018,1.0,2.0,1.0,12.0,1.0,2.0,0.0
25,Philadelphia Eagles,DST,2018,5.0,4.0,2.0,4.0,2.0,5.0,2.0
26,Pittsburgh Steelers,DST,2018,8.0,4.0,13.0,3.0,13.0,3.0,0.0
27,San Francisco 49ers,DST,2018,4.0,3.0,2.0,8.0,1.0,3.0,2.0
28,Seattle Seahawks,DST,2018,4.0,4.0,8.0,2.0,3.0,8.0,0.0
29,Tampa Bay Buccaneers,DST,2018,9.0,5.0,4.0,1.0,0.0,1.0,6.0
30,Tennessee Titans,DST,2018,9.0,5.0,4.0,5.0,2.0,1.0,2.0
31,Washington Redskins,DST,2018,4.0,3.0,5.0,0.0,3.0,4.0,12.0
