PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
David Johnson,ARI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,293.0,1239.0,4.23,16.0,120.0,80.0,879.0,10.99,4.0,1.0,,328.0,408.0,416.8,367.8,196.0,1.0,1.0
Ezekiel Elliott,DAL,RB,21.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,322.0,1631.0,5.07,15.0,39.0,32.0,363.0,11.34,1.0,,,293.0,325.0,332.4,309.4,162.0,2.0,2.0
LeSean McCoy,BUF,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,234.0,1267.0,5.41,13.0,57.0,50.0,356.0,7.12,1.0,1.0,,248.0,298.0,304.3,273.3,117.0,3.0,3.0
Aaron Rodgers,GNB,QB,33.0,16.0,16.0,401.0,610.0,4428.0,40.0,7.0,67.0,369.0,5.51,4.0,0.0,0.0,0.0,,0.0,1.0,1.0,382.0,380.0,397.0,387.0,114.0,1.0,4.0
DeMarco Murray,TEN,RB,28.0,16.0,16.0,1.0,2.0,10.0,1.0,0.0,293.0,1287.0,4.39,9.0,67.0,53.0,377.0,7.11,3.0,,,243.0,294.0,300.8,267.3,111.0,4.0,5.0
Le'Veon Bell,PIT,RB,24.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,261.0,1268.0,4.86,7.0,94.0,75.0,616.0,8.21,2.0,1.0,,242.0,317.0,324.4,279.9,111.0,5.0,6.0
Devonta Freeman,ATL,RB,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,227.0,1079.0,4.75,11.0,65.0,54.0,462.0,8.56,2.0,,,232.0,284.0,291.1,257.1,101.0,6.0,7.0
LeGarrette Blount,NWE,RB,30.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,299.0,1161.0,3.88,18.0,8.0,7.0,38.0,5.43,0.0,,,226.0,233.0,236.9,229.4,94.0,7.0,8.0
Matt Ryan,ATL,QB,31.0,16.0,16.0,373.0,534.0,4944.0,38.0,7.0,35.0,117.0,3.34,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,355.0,347.0,362.5,354.5,88.0,2.0,9.0
Mike Evans,TAM,WR,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,173.0,96.0,1321.0,13.76,12.0,2.0,,208.0,304.0,307.1,256.1,82.0,1.0,10.0
Jordy Nelson,GNB,WR,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,152.0,97.0,1257.0,12.96,14.0,,,208.0,305.0,308.7,256.2,82.0,2.0,11.0
Antonio Brown,PIT,WR,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,3.0,9.0,3.0,0.0,154.0,106.0,1284.0,12.11,12.0,,,207.0,307.0,310.3,254.3,81.0,3.0,12.0
Melvin Gordon,SDG,RB,23.0,13.0,11.0,0.0,0.0,0.0,0.0,0.0,254.0,997.0,3.93,10.0,57.0,41.0,419.0,10.22,2.0,,,210.0,251.0,258.6,230.1,78.0,8.0,13.0
Jordan Howard,CHI,RB,22.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,252.0,1313.0,5.21,6.0,50.0,29.0,298.0,10.28,1.0,,,201.0,230.0,237.1,215.6,70.0,9.0,14.0
Odell Beckham,NYG,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,9.0,9.0,0.0,169.0,101.0,1367.0,13.53,10.0,,,196.0,297.0,300.6,246.1,69.0,4.0,15.0
Drew Brees,NOR,QB,37.0,16.0,16.0,471.0,673.0,5208.0,37.0,15.0,23.0,20.0,0.87,2.0,0.0,0.0,0.0,,0.0,,,336.0,332.0,354.3,347.3,68.0,3.0,16.0
Mark Ingram,NOR,RB,27.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,205.0,1043.0,5.09,6.0,58.0,46.0,319.0,6.93,4.0,2.0,,198.0,242.0,250.2,219.2,67.0,10.0,17.0
T.Y. Hilton,IND,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,155.0,91.0,1448.0,15.91,6.0,1.0,,185.0,274.0,276.8,228.3,59.0,5.0,18.0
Jay Ajayi,MIA,RB,23.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,260.0,1272.0,4.89,8.0,35.0,27.0,151.0,5.59,0.0,,,188.0,215.0,222.3,201.8,57.0,11.0,19.0
Julio Jones,ATL,WR,27.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,129.0,83.0,1409.0,16.98,6.0,,,179.0,260.0,262.9,218.4,53.0,6.0,20.0
Travis Kelce,KAN,TE,27.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,-5.0,-5.0,0.0,117.0,85.0,1125.0,13.24,4.0,1.0,,138.0,223.0,226.0,180.5,49.0,1.0,21.0
Davante Adams,GNB,WR,24.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,121.0,75.0,997.0,13.29,12.0,1.0,,174.0,247.0,250.7,209.2,48.0,7.0,22.0
Frank Gore,IND,RB,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,263.0,1025.0,3.9,4.0,47.0,38.0,277.0,7.29,4.0,,,176.0,214.0,221.2,195.2,45.0,12.0,23.0
Latavius Murray,OAK,RB,26.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,195.0,788.0,4.04,12.0,43.0,33.0,264.0,8.0,0.0,,,175.0,208.0,215.2,191.7,44.0,13.0,24.0
Brandin Cooks,NOR,WR,23.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,6.0,30.0,5.0,0.0,117.0,78.0,1173.0,15.04,8.0,,,168.0,246.0,249.3,207.3,42.0,8.0,25.0
Greg Olsen,CAR,TE,31.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,129.0,80.0,1073.0,13.41,3.0,1.0,,131.0,207.0,210.3,167.3,42.0,2.0,26.0
Andrew Luck,IND,QB,27.0,15.0,15.0,346.0,545.0,4240.0,31.0,13.0,64.0,341.0,5.33,2.0,0.0,0.0,0.0,,0.0,,2.0,310.0,308.0,331.7,320.7,42.0,4.0,27.0
Kyle Rudolph,MIN,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,132.0,83.0,840.0,10.12,7.0,,,128.0,209.0,212.0,167.5,39.0,3.0,28.0
Kirk Cousins,WAS,QB,28.0,16.0,16.0,406.0,606.0,4917.0,25.0,12.0,34.0,96.0,2.82,4.0,0.0,0.0,0.0,,0.0,,,306.0,300.0,318.3,312.3,38.0,5.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Michael Thomas,NOR,WR,23.0,15.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,121.0,92.0,1137.0,12.36,9.0,,,164.0,256.0,260.7,209.7,38.0,9.0,30.0
Doug Baldwin,SEA,WR,28.0,16.0,15.0,1.0,1.0,15.0,1.0,0.0,3.0,2.0,0.67,0.0,125.0,94.0,1128.0,12.0,7.0,,,162.0,254.0,256.6,206.6,35.0,10.0,31.0
Jimmy Graham,SEA,TE,30.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,95.0,65.0,923.0,14.2,6.0,,,124.0,189.0,194.3,156.8,35.0,4.0,32.0
Delanie Walker,TEN,TE,32.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,11.0,5.5,0.0,102.0,65.0,800.0,12.31,7.0,,,123.0,188.0,191.1,155.6,34.0,5.0,33.0
Isaiah Crowell,CLE,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,198.0,952.0,4.81,7.0,53.0,40.0,319.0,7.98,0.0,,,165.0,205.0,213.1,185.1,34.0,14.0,34.0
Carlos Hyde,SFO,RB,26.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,217.0,988.0,4.55,6.0,33.0,27.0,163.0,6.04,3.0,1.0,,165.0,192.0,201.1,178.6,34.0,15.0,35.0
Spencer Ware,KAN,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,214.0,921.0,4.3,3.0,42.0,33.0,447.0,13.55,2.0,,,161.0,194.0,202.8,177.3,29.0,16.0,36.0
Lamar Miller,HOU,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,268.0,1073.0,4.0,5.0,39.0,31.0,188.0,6.06,1.0,,,160.0,191.0,198.1,175.6,29.0,18.0,37.0
Tevin Coleman,ATL,RB,23.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,520.0,4.41,8.0,40.0,31.0,421.0,13.58,3.0,,,160.0,191.0,197.1,175.6,29.0,17.0,38.0
Michael Crabtree,OAK,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,145.0,89.0,1003.0,11.27,8.0,1.0,,152.0,239.0,242.3,194.8,26.0,11.0,39.0
Amari Cooper,OAK,WR,22.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,132.0,83.0,1153.0,13.89,5.0,2.0,,151.0,232.0,235.3,190.8,25.0,12.0,40.0
Dak Prescott,DAL,QB,23.0,16.0,16.0,311.0,459.0,3667.0,23.0,4.0,57.0,282.0,4.95,6.0,0.0,0.0,0.0,,0.0,,,293.0,287.0,300.9,290.9,25.0,6.0,41.0
Cameron Brate,TAM,TE,25.0,15.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,81.0,57.0,660.0,11.58,8.0,,,114.0,171.0,174.0,142.5,25.0,6.0,42.0
Martellus Bennett,NWE,TE,29.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,73.0,55.0,701.0,12.75,7.0,,,113.0,168.0,171.1,140.6,24.0,7.0,43.0
Jeremy Hill,CIN,RB,24.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,222.0,839.0,3.78,9.0,27.0,21.0,174.0,8.29,0.0,,,155.0,176.0,182.3,165.8,24.0,19.0,44.0
Todd Gurley,LAR,RB,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,278.0,885.0,3.18,6.0,58.0,43.0,327.0,7.6,0.0,,,155.0,198.0,205.2,176.7,24.0,20.0,45.0
Rishard Matthews,TEN,WR,27.0,16.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,108.0,65.0,945.0,14.54,9.0,,,149.0,212.0,215.5,179.0,22.0,13.0,46.0
Matt Forte,NYJ,RB,31.0,14.0,13.0,0.0,0.0,0.0,0.0,0.0,218.0,813.0,3.73,7.0,43.0,30.0,263.0,8.77,1.0,,,154.0,184.0,190.6,168.6,22.0,21.0,47.0
Tyrell Williams,SDG,WR,24.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,119.0,69.0,1059.0,15.35,7.0,,,148.0,217.0,219.9,182.4,22.0,14.0,48.0
Zach Ertz,PHI,TE,26.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,106.0,78.0,816.0,10.46,4.0,,,106.0,184.0,186.6,144.6,16.0,8.0,49.0
Jordan Reed,WAS,TE,26.0,12.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,89.0,66.0,686.0,10.39,6.0,,,105.0,169.0,172.6,135.6,15.0,9.0,50.0
