PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Aaron Rodgers,GNB,QB,28.0,15.0,15.0,343.0,502.0,4643.0,45.0,6.0,60.0,257.0,4.28,3.0,0.0,0.0,0.0,,0.0,,,399.0,392.0,406.9,398.4,171.0,1.0,1.0
Drew Brees,NOR,QB,32.0,16.0,16.0,468.0,657.0,5476.0,46.0,14.0,21.0,86.0,4.1,1.0,0.0,0.0,0.0,,0.0,,3.0,396.0,395.0,412.1,408.6,167.0,2.0,2.0
Ray Rice,BAL,RB,24.0,16.0,16.0,1.0,1.0,1.0,1.0,0.0,291.0,1364.0,4.69,12.0,104.0,76.0,704.0,9.26,3.0,,,301.0,375.0,381.8,336.8,152.0,1.0,3.0
Calvin Johnson,DET,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,11.0,0.0,158.0,96.0,1681.0,17.51,16.0,,,267.0,360.0,363.7,312.2,151.0,1.0,4.0
Cam Newton,CAR,QB,22.0,16.0,16.0,310.0,517.0,4051.0,21.0,17.0,126.0,706.0,5.6,14.0,1.0,1.0,27.0,27.0,0.0,,2.0,375.0,369.0,394.8,385.8,147.0,3.0,5.0
Rob Gronkowski,NWE,TE,22.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,124.0,90.0,1327.0,14.74,17.0,,,241.0,331.0,333.9,285.9,143.0,1.0,6.0
Tom Brady,NWE,QB,34.0,16.0,16.0,401.0,611.0,5235.0,39.0,12.0,43.0,109.0,2.53,3.0,0.0,0.0,0.0,,0.0,,,370.0,364.0,385.3,376.3,142.0,4.0,7.0
LeSean McCoy,PHI,RB,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,273.0,1309.0,4.79,17.0,69.0,48.0,315.0,6.56,3.0,,,282.0,329.0,335.9,305.4,134.0,2.0,8.0
Matthew Stafford,DET,QB,23.0,16.0,16.0,421.0,663.0,5038.0,41.0,16.0,22.0,78.0,3.55,0.0,0.0,0.0,0.0,,0.0,,2.0,347.0,340.0,361.8,356.3,119.0,5.0,9.0
Maurice Jones-Drew,JAX,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,343.0,1606.0,4.68,8.0,64.0,43.0,374.0,8.7,3.0,,,264.0,301.0,310.0,279.5,115.0,3.0,10.0
Arian Foster,HOU,RB,25.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,278.0,1224.0,4.4,10.0,72.0,53.0,617.0,11.64,2.0,,,256.0,303.0,312.1,276.6,108.0,4.0,11.0
Jordy Nelson,GNB,WR,26.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,96.0,68.0,1263.0,18.57,15.0,,,216.0,284.0,287.3,250.3,100.0,2.0,12.0
Jimmy Graham,NOR,TE,25.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,149.0,99.0,1310.0,13.23,11.0,,,197.0,295.0,298.5,245.5,99.0,2.0,13.0
Wes Welker,NWE,WR,30.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,7.5,0.0,173.0,122.0,1569.0,12.86,9.0,,,214.0,335.0,338.4,273.9,98.0,3.0,14.0
