PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Victor Cruz,NYG,WR,25.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,131.0,82.0,1536.0,18.73,9.0,,,208.0,289.0,292.4,247.9,92.0,4.0,15.0
Larry Fitzgerald,ARI,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,154.0,80.0,1411.0,17.64,8.0,,,189.0,269.0,272.1,229.1,73.0,5.0,16.0
Steve Smith,CAR,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,9.33,0.0,129.0,79.0,1394.0,17.65,7.0,1.0,,189.0,265.0,269.5,225.5,73.0,6.0,17.0
Marshawn Lynch,SEA,RB,25.0,15.0,15.0,0.0,2.0,0.0,0.0,0.0,285.0,1204.0,4.22,12.0,41.0,28.0,212.0,7.57,1.0,,,220.0,245.0,252.1,230.6,71.0,5.0,18.0
Michael Turner,ATL,RB,29.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,301.0,1340.0,4.45,11.0,26.0,17.0,168.0,9.88,0.0,,,217.0,231.0,238.3,222.3,68.0,6.0,19.0
Percy Harvin,MIN,WR,23.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,52.0,345.0,6.63,2.0,121.0,87.0,967.0,11.11,6.0,,,179.0,264.0,277.2,226.7,63.0,7.0,20.0
Roddy White,ATL,WR,30.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,180.0,100.0,1296.0,12.96,8.0,,,178.0,278.0,280.6,227.6,62.0,8.0,21.0
Eli Manning,NYG,QB,30.0,16.0,16.0,359.0,589.0,4933.0,29.0,16.0,35.0,15.0,0.43,1.0,0.0,0.0,0.0,,0.0,,,289.0,281.0,303.8,296.8,60.0,6.0,22.0
Mike Wallace,PIT,WR,25.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,5.0,57.0,11.4,0.0,114.0,72.0,1193.0,16.57,8.0,,,173.0,244.0,247.5,208.0,57.0,9.0,23.0
Vincent Jackson,SDG,WR,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,51.0,17.0,0.0,115.0,60.0,1106.0,18.43,9.0,,,170.0,230.0,232.7,199.7,54.0,10.0,24.0
Tony Romo,DAL,QB,31.0,16.0,16.0,346.0,522.0,4184.0,31.0,10.0,22.0,46.0,2.09,1.0,0.0,0.0,0.0,,0.0,,,282.0,275.0,291.5,285.0,53.0,7.0,25.0
Matt Ryan,ATL,QB,26.0,16.0,16.0,347.0,566.0,4177.0,29.0,12.0,37.0,84.0,2.27,2.0,0.0,0.0,0.0,,0.0,,,281.0,274.0,292.0,286.5,53.0,8.0,26.0
Marques Colston,NOR,WR,28.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,107.0,80.0,1143.0,14.29,8.0,,,162.0,241.0,244.8,201.3,46.0,11.0,27.0
Hakeem Nicks,NYG,WR,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,133.0,76.0,1192.0,15.68,7.0,,,161.0,237.0,240.2,199.2,45.0,12.0,28.0
Brandon Marshall,MIA,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,141.0,81.0,1214.0,14.99,6.0,,,161.0,239.0,242.2,198.2,45.0,13.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Mathews,SDG,RB,24.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,222.0,1091.0,4.91,6.0,59.0,50.0,455.0,9.1,0.0,,,191.0,236.0,244.1,210.6,42.0,7.0,30.0
Adrian Peterson,MIN,RB,26.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,208.0,970.0,4.66,12.0,24.0,18.0,139.0,7.72,1.0,,,189.0,206.0,212.4,196.9,40.0,8.0,31.0
Aaron Hernandez,NWE,TE,22.0,14.0,12.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,9.0,0.0,113.0,79.0,910.0,11.52,7.0,,,138.0,216.0,219.0,176.0,40.0,3.0,32.0
Michael Bush,OAK,RB,27.0,16.0,9.0,0.0,0.0,0.0,0.0,0.0,256.0,977.0,3.82,7.0,47.0,37.0,418.0,11.3,1.0,,,188.0,224.0,230.0,205.0,39.0,9.0,33.0
Darren Sproles,NOR,RB,28.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,87.0,603.0,6.93,2.0,111.0,86.0,710.0,8.26,7.0,,,187.0,270.0,282.8,233.3,39.0,10.0,34.0
A.J. Green,CIN,WR,23.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,5.0,53.0,10.6,0.0,115.0,65.0,1057.0,16.26,7.0,,,153.0,217.0,220.5,184.5,37.0,14.0,35.0
Philip Rivers,SDG,QB,30.0,16.0,16.0,366.0,582.0,4624.0,27.0,20.0,26.0,36.0,1.38,1.0,0.0,0.0,0.0,,0.0,,1.0,265.0,256.0,283.1,275.6,36.0,9.0,36.0
Laurent Robinson,DAL,WR,26.0,14.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,80.0,54.0,858.0,15.89,11.0,,,152.0,206.0,208.8,178.8,36.0,15.0,37.0
Steven Jackson,STL,RB,28.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,260.0,1145.0,4.4,5.0,58.0,42.0,333.0,7.93,1.0,,,184.0,224.0,230.8,202.8,35.0,11.0,38.0
Nate Washington,TEN,WR,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,2.5,1.0,121.0,74.0,1023.0,13.82,7.0,,,151.0,225.0,227.8,187.8,35.0,16.0,39.0
Frank Gore,SFO,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,282.0,1211.0,4.29,8.0,31.0,17.0,114.0,6.71,0.0,,,183.0,196.0,202.5,187.0,34.0,12.0,40.0
Julio Jones,ATL,WR,22.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,6.0,56.0,9.33,0.0,95.0,54.0,959.0,17.76,8.0,,,150.0,203.0,206.0,175.5,33.0,17.0,41.0
Greg Jennings,GNB,WR,28.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,101.0,67.0,949.0,14.16,9.0,,,149.0,216.0,218.9,182.4,33.0,18.0,42.0
Tony Gonzalez,ATL,TE,35.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,116.0,80.0,875.0,10.94,7.0,,,130.0,210.0,212.5,169.5,32.0,4.0,43.0
Reggie Bush,MIA,RB,26.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,216.0,1086.0,5.03,6.0,52.0,43.0,296.0,6.88,1.0,,,180.0,219.0,227.2,197.7,32.0,13.0,44.0
Dez Bryant,DAL,WR,23.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,5.0,0.0,103.0,63.0,928.0,14.73,9.0,,,147.0,207.0,211.8,175.8,31.0,19.0,45.0
Dwayne Bowe,KAN,WR,27.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,12.0,12.0,0.0,142.0,81.0,1159.0,14.31,5.0,,,147.0,227.0,230.6,186.6,31.0,20.0,46.0
Jermichael Finley,GNB,TE,24.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,92.0,55.0,767.0,13.95,8.0,,,127.0,180.0,182.7,152.2,29.0,5.0,47.0
Jason Witten,DAL,TE,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,117.0,79.0,942.0,11.92,5.0,,,124.0,202.0,205.7,162.7,27.0,6.0,48.0
Mark Sanchez,NYJ,QB,25.0,16.0,16.0,308.0,543.0,3474.0,26.0,18.0,37.0,103.0,2.78,6.0,0.0,0.0,0.0,,0.0,,,255.0,243.0,272.3,261.3,26.0,10.0,49.0
Steve Johnson,BUF,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,134.0,76.0,1004.0,13.21,7.0,,,142.0,218.0,221.4,180.4,26.0,21.0,50.0
Fred Jackson,BUF,RB,30.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,170.0,934.0,5.49,6.0,50.0,39.0,442.0,11.33,0.0,,,174.0,211.0,217.6,191.1,25.0,14.0,51.0
Matt Forte,CHI,RB,26.0,12.0,12.0,0.0,1.0,0.0,0.0,0.0,203.0,997.0,4.91,3.0,76.0,52.0,490.0,9.42,1.0,,,173.0,223.0,229.7,196.7,24.0,15.0,52.0
Antonio Gates,SDG,TE,31.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,88.0,64.0,778.0,12.16,7.0,,,120.0,184.0,186.8,151.8,22.0,7.0,53.0
Chris Johnson,TEN,RB,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,262.0,1047.0,4.0,4.0,79.0,57.0,418.0,7.33,0.0,,,171.0,225.0,232.0,196.0,22.0,16.0,54.0
Beanie Wells,ARI,RB,23.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,245.0,1047.0,4.27,10.0,16.0,10.0,52.0,5.2,0.0,,,170.0,176.0,180.9,170.9,21.0,17.0,55.0
Pierre Garcon,IND,WR,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,4.0,28.0,7.0,0.0,134.0,70.0,947.0,13.53,6.0,,,134.0,202.0,205.5,166.5,17.0,22.0,56.0
Vernon Davis,SFO,TE,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,-5.0,-2.5,0.0,95.0,67.0,792.0,11.82,6.0,,,115.0,179.0,183.2,145.2,17.0,8.0,57.0
Shonn Greene,NYJ,RB,26.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,253.0,1054.0,4.17,6.0,41.0,30.0,211.0,7.03,0.0,,,163.0,192.0,198.0,176.5,14.0,18.0,58.0
Torrey Smith,BAL,WR,22.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,4.0,39.0,9.75,0.0,95.0,50.0,841.0,16.82,7.0,,,130.0,179.0,182.5,154.0,14.0,23.0,59.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dustin Keller,NYJ,TE,27.0,16.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,115.0,65.0,815.0,12.54,5.0,,,112.0,176.0,179.0,143.0,14.0,9.0,60.0
Rashard Mendenhall,PIT,RB,24.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,228.0,928.0,4.07,9.0,28.0,18.0,154.0,8.56,0.0,,,162.0,179.0,185.7,170.2,14.0,19.0,61.0
Brent Celek,PHI,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,98.0,62.0,811.0,13.08,5.0,,,111.0,173.0,176.1,142.1,14.0,10.0,62.0
Brandon Lloyd,2TM,WR,30.0,15.0,14.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,0.0,148.0,70.0,966.0,13.8,5.0,,,129.0,196.0,199.1,160.6,13.0,24.0,63.0
Michael Vick,PHI,QB,31.0,13.0,13.0,253.0,423.0,3303.0,18.0,14.0,76.0,589.0,7.75,1.0,0.0,0.0,0.0,,0.0,,,241.0,231.0,256.0,245.0,12.0,11.0,64.0
Ahmad Bradshaw,NYG,RB,25.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,171.0,659.0,3.85,9.0,44.0,34.0,267.0,7.85,2.0,1.0,,161.0,194.0,200.1,176.6,12.0,20.0,65.0
Antonio Brown,PIT,WR,23.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,5.86,0.0,124.0,69.0,1108.0,16.06,2.0,,,127.0,196.0,204.9,167.4,11.0,25.0,66.0
Brandon Pettigrew,DET,TE,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,126.0,83.0,777.0,9.36,5.0,,,108.0,191.0,193.7,149.2,10.0,11.0,67.0
Jabar Gaffney,WAS,WR,31.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,114.0,68.0,947.0,13.93,5.0,,,125.0,192.0,195.2,157.7,9.0,26.0,68.0
Willis McGahee,DEN,RB,30.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,249.0,1199.0,4.82,4.0,20.0,12.0,51.0,4.25,1.0,1.0,,157.0,165.0,170.0,159.0,8.0,21.0,69.0
DeSean Jackson,PHI,WR,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,7.0,41.0,5.86,0.0,104.0,58.0,961.0,16.57,4.0,,,124.0,181.0,184.7,152.2,8.0,27.0,70.0
Darrius Heyward-Bey,OAK,WR,24.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,115.0,64.0,975.0,15.23,4.0,,,122.0,185.0,188.0,152.5,5.0,28.0,71.0
Reggie Wayne,IND,WR,33.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,132.0,75.0,960.0,12.8,4.0,,,120.0,195.0,198.0,157.5,4.0,29.0,72.0
Mike Tolbert,SDG,RB,26.0,15.0,1.0,0.0,0.0,0.0,0.0,0.0,121.0,490.0,4.05,8.0,79.0,54.0,433.0,8.02,2.0,,,152.0,204.0,211.3,177.3,4.0,22.0,73.0
Cedric Benson,CIN,RB,29.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,273.0,1067.0,3.91,6.0,22.0,15.0,82.0,5.47,0.0,,,151.0,161.0,166.4,153.4,2.0,23.0,74.0
Santonio Holmes,NYJ,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,3.0,27.0,9.0,0.0,101.0,51.0,654.0,12.82,8.0,,,116.0,165.0,169.1,139.6,,30.0,75.0
Marquis Johnson,STL,,23.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,3.0,76.0
Korey Hall,NOR,,28.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,,,,,,,2.0,77.0
Ryan Fitzpatrick,BUF,QB,29.0,16.0,16.0,353.0,569.0,3832.0,24.0,23.0,56.0,215.0,3.84,0.0,0.0,0.0,0.0,,0.0,1.0,,229.0,220.0,252.3,242.8,,12.0,78.0
Ben Roethlisberger,PIT,QB,29.0,15.0,15.0,324.0,513.0,4077.0,21.0,14.0,31.0,70.0,2.26,0.0,0.0,0.0,0.0,,0.0,,,226.0,217.0,238.6,231.1,,13.0,
Josh Freeman,TAM,QB,23.0,15.0,15.0,346.0,551.0,3592.0,16.0,22.0,55.0,238.0,4.33,4.0,1.0,0.0,-4.0,,0.0,,2.0,225.0,206.0,238.6,228.1,,14.0,
Alex Smith,SFO,QB,27.0,16.0,16.0,273.0,445.0,3144.0,17.0,5.0,52.0,179.0,3.44,2.0,0.0,0.0,0.0,,0.0,,1.0,216.0,209.0,223.2,213.7,,15.0,
Joe Flacco,BAL,QB,26.0,16.0,16.0,312.0,542.0,3610.0,20.0,12.0,39.0,88.0,2.26,1.0,1.0,1.0,-8.0,-8.0,0.0,,,214.0,204.0,224.9,215.9,,16.0,
Andy Dalton,CIN,QB,24.0,16.0,16.0,300.0,516.0,3398.0,20.0,13.0,37.0,152.0,4.11,1.0,1.0,0.0,0.0,,0.0,,,213.0,206.0,227.6,219.1,,18.0,
Tim Tebow,DEN,QB,24.0,14.0,11.0,126.0,271.0,1729.0,12.0,6.0,122.0,660.0,5.41,6.0,0.0,0.0,0.0,,0.0,2.0,,213.0,197.0,216.2,203.2,,17.0,
Matt Hasselbeck,TEN,QB,36.0,16.0,16.0,319.0,518.0,3571.0,18.0,14.0,20.0,52.0,2.6,0.0,0.0,0.0,0.0,,0.0,,,192.0,188.0,207.0,202.0,,19.0,
Tarvaris Jackson,SEA,QB,28.0,15.0,14.0,271.0,450.0,3091.0,14.0,13.0,40.0,108.0,2.7,1.0,0.0,0.0,0.0,,0.0,,,172.0,161.0,184.9,174.4,,20.0,
Colt McCoy,CLE,QB,25.0,13.0,13.0,265.0,463.0,2733.0,14.0,11.0,61.0,212.0,3.48,0.0,1.0,1.0,-5.0,-5.0,0.0,,,166.0,154.0,176.5,164.5,,22.0,
Matt Moore,MIA,QB,27.0,13.0,12.0,210.0,347.0,2497.0,16.0,9.0,32.0,65.0,2.03,2.0,0.0,0.0,0.0,,0.0,,,166.0,150.0,169.4,159.4,,21.0,
Matt Schaub,HOU,QB,30.0,10.0,10.0,178.0,292.0,2479.0,15.0,6.0,15.0,9.0,0.6,2.0,0.0,0.0,0.0,,0.0,,,160.0,157.0,167.6,163.1,,23.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rex Grossman,WAS,QB,31.0,13.0,13.0,265.0,458.0,3151.0,16.0,20.0,20.0,11.0,0.55,1.0,0.0,0.0,0.0,,0.0,,,159.0,149.0,176.1,169.1,,24.0,
BenJarvus Green-Ellis,NWE,RB,26.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,181.0,667.0,3.69,11.0,13.0,9.0,159.0,17.67,0.0,,,149.0,158.0,163.6,153.1,,24.0,
Jonathan Stewart,CAR,RB,24.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,142.0,761.0,5.36,4.0,61.0,47.0,413.0,8.79,1.0,,,147.0,193.0,199.9,169.9,,25.0,
Jay Cutler,CHI,QB,28.0,10.0,10.0,182.0,314.0,2319.0,13.0,7.0,18.0,55.0,3.06,1.0,0.0,0.0,0.0,,0.0,,,142.0,135.0,148.8,142.3,,25.0,
DeAngelo Williams,CAR,RB,28.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,155.0,836.0,5.39,7.0,25.0,16.0,135.0,8.44,0.0,,,139.0,155.0,161.1,147.1,,26.0,
Carson Palmer,OAK,QB,32.0,10.0,9.0,199.0,328.0,2753.0,13.0,16.0,16.0,20.0,1.25,1.0,0.0,0.0,0.0,,0.0,,,138.0,136.0,156.1,152.1,,26.0,
Pierre Thomas,NOR,RB,27.0,16.0,7.0,0.0,0.0,0.0,0.0,0.0,110.0,562.0,5.11,5.0,59.0,50.0,425.0,8.5,1.0,,,137.0,183.0,189.7,157.7,,27.0,
Ben Tate,HOU,RB,23.0,15.0,2.0,0.0,0.0,0.0,0.0,0.0,175.0,942.0,5.38,4.0,19.0,13.0,98.0,7.54,0.0,,,128.0,137.0,142.0,130.5,,28.0,
Blaine Gabbert,JAX,QB,22.0,15.0,14.0,210.0,413.0,2214.0,12.0,11.0,48.0,98.0,2.04,0.0,0.0,0.0,0.0,,0.0,,,124.0,110.0,131.4,121.4,,27.0,
LeGarrette Blount,TAM,RB,25.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,184.0,781.0,4.24,5.0,25.0,15.0,148.0,9.87,0.0,,,123.0,133.0,141.4,125.4,,29.0,
Christian Ponder,MIN,QB,23.0,11.0,10.0,158.0,291.0,1853.0,13.0,13.0,28.0,219.0,7.82,0.0,0.0,0.0,0.0,,0.0,,,122.0,116.0,138.0,129.0,,28.0,
Roy Helu,WAS,RB,23.0,15.0,5.0,0.0,0.0,0.0,0.0,0.0,151.0,640.0,4.24,2.0,59.0,49.0,379.0,7.73,1.0,,,120.0,167.0,173.9,142.4,,31.0,
Brandon Jacobs,NYG,RB,29.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,152.0,571.0,3.76,7.0,23.0,15.0,128.0,8.53,1.0,1.0,,120.0,132.0,139.4,124.4,,32.0,
DeMarco Murray,DAL,RB,23.0,13.0,7.0,0.0,0.0,0.0,0.0,0.0,164.0,897.0,5.47,2.0,35.0,26.0,183.0,7.04,0.0,,,120.0,145.0,151.5,132.0,,30.0,
C.J. Spiller,BUF,RB,24.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,107.0,561.0,5.24,4.0,54.0,39.0,269.0,6.9,2.0,,,119.0,156.0,163.0,136.5,,33.0,
Malcom Floyd,SDG,WR,30.0,12.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,70.0,43.0,856.0,19.91,5.0,,,116.0,159.0,161.6,137.1,,32.0,
Jeremy Maclin,PHI,WR,23.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,96.0,63.0,859.0,13.63,5.0,,,116.0,178.0,181.5,146.5,,31.0,
Lance Moore,NOR,WR,28.0,14.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,73.0,52.0,627.0,12.06,8.0,2.0,,115.0,167.0,169.7,140.7,,33.0,
Michael Crabtree,SFO,WR,24.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,6.0,6.0,0.0,115.0,72.0,874.0,12.14,4.0,1.0,,114.0,186.0,189.0,150.0,,34.0,
Plaxico Burress,NYJ,WR,34.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,96.0,45.0,612.0,13.6,8.0,,,109.0,154.0,157.2,131.7,,36.0,
Eric Decker,DEN,WR,24.0,16.0,13.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,96.0,44.0,612.0,13.91,8.0,,,109.0,152.0,161.8,136.3,,35.0,
Anquan Boldin,BAL,WR,31.0,14.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,106.0,57.0,887.0,15.56,3.0,,,107.0,163.0,166.2,134.2,,37.0,
Kevin Kolb,ARI,QB,27.0,9.0,9.0,146.0,253.0,1955.0,9.0,8.0,17.0,65.0,3.82,0.0,0.0,0.0,0.0,,0.0,,,107.0,97.0,111.7,104.7,,30.0,
Darren McFadden,OAK,RB,24.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,113.0,614.0,5.43,4.0,23.0,19.0,154.0,8.11,1.0,,,107.0,125.0,131.3,115.3,,34.0,
John Skelton,ARI,QB,23.0,8.0,7.0,151.0,275.0,1913.0,11.0,14.0,28.0,128.0,4.57,0.0,0.0,0.0,0.0,,0.0,,,107.0,101.0,123.3,115.3,,29.0,
James Jones,GNB,WR,27.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,55.0,38.0,635.0,16.71,7.0,,,106.0,143.0,146.0,123.5,,39.0,
Denarius Moore,OAK,WR,23.0,13.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,61.0,12.2,1.0,76.0,33.0,618.0,18.73,5.0,,,106.0,136.0,139.4,119.4,,38.0,
Doug Baldwin,SEA,WR,23.0,16.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-2.0,-2.0,0.0,85.0,51.0,788.0,15.45,4.0,,,103.0,154.0,156.6,128.1,,40.0,
Donald Brown,IND,RB,24.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,134.0,645.0,4.81,5.0,19.0,16.0,86.0,5.38,0.0,,,103.0,119.0,122.1,111.1,,35.0,
Nate Burleson,DET,WR,30.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,11.0,85.0,7.73,0.0,110.0,73.0,757.0,10.37,3.0,,,102.0,174.0,177.7,137.7,,41.0,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sam Bradford,STL,QB,24.0,10.0,10.0,191.0,357.0,2164.0,6.0,6.0,18.0,26.0,1.44,0.0,0.0,0.0,0.0,,0.0,,,101.0,91.0,105.2,97.2,,31.0,
Ryan Grant,GNB,RB,29.0,15.0,14.0,0.0,0.0,0.0,0.0,0.0,134.0,559.0,4.17,2.0,24.0,19.0,268.0,14.11,1.0,,,101.0,118.0,124.7,108.2,,36.0,
Miles Austin,DAL,WR,27.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0,1.5,0.0,73.0,43.0,579.0,13.47,7.0,,,100.0,142.0,145.7,120.7,,43.0,
