PLAYER,TEAM,POS,AGE,GP,GS,Passing_Cmp,Passing_Att,Passing_Yds,Passing_TD,Int,Rushing_Att,Rushing_Yds,Y/A,Rushing_TD,Tgt,Rec,Reception_Yds,Y/R,Rec_TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
Arian Foster,HOU,RB,24.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,327.0,1616.0,4.94,16.0,84.0,66.0,604.0,9.15,2.0,,,330.0,393.0,400.5,360.0,192.0,1.0,1.0
Peyton Hillis,CLE,RB,24.0,16.0,14.0,1.0,2.0,13.0,0.0,0.0,270.0,1177.0,4.36,11.0,77.0,61.0,477.0,7.82,2.0,,,244.0,297.0,306.9,266.4,106.0,2.0,2.0
Adrian Peterson,MIN,RB,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,283.0,1298.0,4.59,12.0,50.0,36.0,341.0,9.47,1.0,,,242.0,277.0,283.4,258.9,104.0,3.0,3.0
Jamaal Charles,KAN,RB,24.0,16.0,6.0,0.0,0.0,0.0,0.0,0.0,230.0,1467.0,6.38,5.0,64.0,45.0,468.0,10.4,3.0,,,242.0,284.0,291.0,261.0,103.0,4.0,4.0
Chris Johnson,TEN,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,316.0,1364.0,4.32,11.0,57.0,44.0,245.0,5.57,1.0,,,233.0,274.0,281.4,251.9,95.0,5.0,5.0
Brandon Lloyd,DEN,WR,29.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,1.0,-18.0,-18.0,0.0,153.0,77.0,1448.0,18.81,11.0,,,209.0,286.0,289.0,247.5,92.0,1.0,6.0
Dwayne Bowe,KAN,WR,26.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,4.0,0.0,133.0,72.0,1162.0,16.14,15.0,,,207.0,278.0,281.1,241.6,89.0,2.0,7.0
Darren McFadden,OAK,RB,23.0,13.0,13.0,0.0,1.0,0.0,0.0,0.0,223.0,1157.0,5.19,7.0,61.0,47.0,507.0,10.79,3.0,,,226.0,269.0,277.4,245.9,88.0,6.0,8.0
Roddy White,ATL,WR,29.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,179.0,115.0,1389.0,12.08,10.0,2.0,,203.0,317.0,320.7,259.7,86.0,3.0,9.0
Michael Vick,PHI,QB,30.0,12.0,12.0,233.0,372.0,3018.0,21.0,6.0,100.0,676.0,6.76,9.0,0.0,0.0,0.0,,0.0,,1.0,316.0,305.0,322.8,311.3,85.0,1.0,10.0
Rashard Mendenhall,PIT,RB,23.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,324.0,1273.0,3.93,13.0,34.0,23.0,167.0,7.26,0.0,,,222.0,243.0,250.0,231.5,84.0,7.0,11.0
LeSean McCoy,PHI,RB,22.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,207.0,1080.0,5.22,7.0,91.0,78.0,592.0,7.59,2.0,,,221.0,297.0,304.2,258.2,83.0,8.0,12.0
Greg Jennings,GNB,WR,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,-1.0,0.0,125.0,76.0,1265.0,16.64,12.0,,,198.0,272.0,276.4,234.4,81.0,4.0,13.0
Matt Forte,CHI,RB,25.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,237.0,1069.0,4.51,6.0,70.0,51.0,547.0,10.73,3.0,1.0,,218.0,266.0,273.1,240.1,80.0,10.0,14.0
Michael Turner,ATL,RB,28.0,16.0,15.0,0.0,0.0,0.0,0.0,0.0,334.0,1371.0,4.1,12.0,20.0,12.0,85.0,7.08,0.0,,,218.0,228.0,231.6,221.6,80.0,9.0,15.0
Ray Rice,BAL,RB,23.0,16.0,14.0,0.0,0.0,0.0,0.0,0.0,307.0,1220.0,3.97,5.0,83.0,63.0,556.0,8.83,1.0,,,214.0,277.0,282.6,245.1,76.0,11.0,16.0
Aaron Rodgers,GNB,QB,27.0,15.0,15.0,312.0,475.0,3922.0,28.0,11.0,64.0,356.0,5.56,4.0,0.0,0.0,0.0,,0.0,,,306.0,302.0,321.5,313.5,75.0,2.0,17.0
Mike Wallace,PIT,WR,24.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,5.0,39.0,7.8,0.0,98.0,60.0,1257.0,20.95,10.0,,,190.0,249.0,252.1,218.6,72.0,5.0,18.0
Calvin Johnson,DET,WR,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,4.0,32.0,8.0,0.0,137.0,77.0,1120.0,14.55,12.0,1.0,,189.0,265.0,268.7,226.7,72.0,6.0,19.0
Tom Brady,NWE,QB,33.0,16.0,16.0,324.0,492.0,3900.0,36.0,4.0,31.0,30.0,0.97,1.0,0.0,0.0,0.0,,0.0,,,301.0,298.0,306.5,302.0,70.0,3.0,20.0
Ahmad Bradshaw,NYG,RB,24.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,276.0,1235.0,4.47,8.0,58.0,47.0,314.0,6.68,0.0,1.0,,205.0,245.0,254.4,221.4,67.0,12.0,21.0
Maurice Jones-Drew,JAX,RB,25.0,14.0,14.0,0.0,1.0,0.0,0.0,1.0,299.0,1324.0,4.43,5.0,44.0,34.0,317.0,9.32,2.0,,,204.0,236.0,244.1,220.1,66.0,13.0,22.0
Steven Jackson,STL,RB,27.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,330.0,1241.0,3.76,6.0,62.0,46.0,383.0,8.33,0.0,,,198.0,243.0,249.9,220.4,60.0,14.0,23.0
Jason Witten,DAL,TE,28.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128.0,94.0,1002.0,10.66,9.0,1.0,,156.0,249.0,252.7,202.2,60.0,1.0,24.0
Philip Rivers,SDG,QB,29.0,16.0,16.0,357.0,541.0,4710.0,30.0,13.0,29.0,52.0,1.79,0.0,0.0,0.0,0.0,,0.0,,1.0,290.0,283.0,302.1,295.6,58.0,4.0,25.0
Peyton Manning,IND,QB,34.0,16.0,16.0,450.0,679.0,4700.0,33.0,17.0,18.0,18.0,1.0,0.0,0.0,0.0,0.0,,0.0,,,288.0,285.0,306.3,301.8,57.0,5.0,26.0
Reggie Wayne,IND,WR,32.0,16.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,175.0,111.0,1355.0,12.21,6.0,,,172.0,282.0,285.0,226.0,54.0,7.0,27.0
Hakeem Nicks,NYG,WR,22.0,13.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,128.0,79.0,1052.0,13.32,11.0,,,171.0,249.0,252.7,209.7,54.0,8.0,28.0
Andre Johnson,HOU,WR,29.0,13.0,13.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,5.0,0.0,138.0,86.0,1216.0,14.14,8.0,,,171.0,256.0,259.1,212.6,53.0,9.0,29.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Johnson,BUF,WR,24.0,16.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,141.0,82.0,1073.0,13.09,10.0,,,167.0,248.0,251.8,207.3,50.0,10.0,30.0
BenJarvus Green-Ellis,NWE,RB,25.0,16.0,11.0,0.0,0.0,0.0,0.0,0.0,229.0,1008.0,4.4,13.0,16.0,12.0,85.0,7.08,0.0,,,187.0,199.0,202.3,193.3,49.0,15.0,31.0
