TEAM_YEAR,QB_1,RB_1,TE_1,WR_1,WR_2
NYJ_2012,118,186,83,147,64
NYJ_2013,195,140,90,114,90
NYJ_2014,151,152,66,200,94
NYJ_2015,285,203,13,339,253
NYJ_2016,133,184,14,197,169
NYJ_2017,205,145,102,200,176
OAK_2010,151,269,158,109,116
OAK_2011,136,224,83,185,136
OAK_2012,224,153,184,167,133
OAK_2013,144,175,103,173,146
OAK_2014,192,121,133,174,140
OAK_2015,271,205,79,231,213
OAK_2016,268,208,87,239,232
OAK_2017,206,164,133,172,158
PHI_2010,305,297,117,229,201
PHI_2011,231,329,173,181,178
PHI_2012,152,199,129,195,126
PHI_2013,260,331,116,269,184
PHI_2014,139,199,144,277,202
PHI_2015,195,184,170,231,150
PHI_2016,214,145,184,171,88
PHI_2017,282,108,202,196,188
PIT_2010,210,243,104,249,163
PIT_2011,217,179,126,244,196
PIT_2012,224,99,203,194,171
PIT_2013,259,217,121,309,166
PIT_2014,306,371,160,381,130
PIT_2015,228,231,128,382,170
PIT_2016,252,317,91,307,126
PIT_2017,261,342,98,310,192
SEA_2010,151,123,69,152,109
SEA_2011,161,245,48,154,94
SEA_2012,278,270,94,168,161
SEA_2013,270,275,102,187,158
SEA_2014,331,302,76,167,100
SEA_2015,336,128,121,269,153
SEA_2016,270,76,189,254,124
SEA_2017,348,97,171,223,150
SFO_2010,135,203,191,165,126
SFO_2011,209,196,179,186,63
SFO_2012,174,225,126,250,89
SFO_2013,264,191,213,246,53
SFO_2014,251,159,63,220,162
SFO_2015,130,81,56,170,125
SFO_2016,200,192,87,147,65
SFO_2017,89,234,107,169,96
TAM_2010,257,139,168,224,79
TAM_2011,206,133,165,158,110
TAM_2012,249,312,115,260,218
TAM_2013,158,68,141,242,92
TAM_2014,127,111,53,245,180
TAM_2015,275,232,79,211,107
TAM_2016,256,91,171,304,133
TAM_2017,202,86,143,203,139
TEN_2010,110,274,90,175,146
TEN_2011,188,225,141,225,134
TEN_2012,132,212,118,145,149
TEN_2013,168,240,153,214,168
TEN_2014,87,96,176,168,117
TEN_2015,211,112,244,113,92
TEN_2016,260,294,188,212,105
TEN_2017,210,172,175,156,116
WAS_2010,166,139,179,237,148
WAS_2011,149,167,156,192,128
WAS_2012,318,252,62,146,132
WAS_2013,213,178,115,278,86
WAS_2014,87,188,95,210,161
WAS_2015,293,114,244,186,134
WAS_2016,300,133,169,192,181
WAS_2017,278,151,122,160,120
