Rk,Player,Team,Pos,Att,Att/G,Yds,Avg,Yds/G,TD,Lng,1st,1st%,20+,40+,FUM,YEAR
13,Eddie Lacy,GB,RB,71,14.2,360,5.1,72.0,0,31,15,21.1,4,0,0,2016
14,Devonta Freeman,ATL,RB,227,14.2,"1,079",4.8,67.4,11,75T,61,26.9,7,2,1,2016
15,Spencer Ware,KC,RB,214,15.3,921,4.3,65.8,3,46,47,22.0,3,2,3,2016
16,Matt Jones,WAS,RB,99,14.1,460,4.6,65.7,3,57,28,28.3,3,1,3,2016
17,Mark Ingram,NO,RB,205,12.8,"1,043",5.1,65.2,6,75T,49,23.9,4,2,2,2016
18,Frank Gore,IND,RB,263,16.4,"1,025",3.9,64.1,4,22,50,19.0,1,0,2,2016
19,Jonathan Stewart,CAR,RB,218,16.8,824,3.8,63.4,9,47,47,21.6,6,1,3,2016
20,C.J. Anderson,DEN,RB,110,15.7,437,4.0,62.4,4,28,22,20.0,1,0,0,2016
21,Isaiah Crowell,CLE,RB,198,12.4,952,4.8,59.5,7,85T,45,22.7,8,3,2,2016
22,Matt Forte,NYJ,RB,218,15.6,813,3.7,58.1,7,32,35,16.1,5,0,1,2016
23,Danny Woodhead,SD,RB,19,9.5,116,6.1,58.0,0,23,6,31.6,2,0,0,2016
24,Latavius Murray,OAK,RB,195,13.9,788,4.0,56.3,12,42,52,26.7,5,1,2,2016
25,Jacquizz Rodgers,TB,RB,129,12.9,560,4.3,56.0,2,45,29,22.5,3,1,0,2016
26,Jeremy Hill,CIN,RB,222,14.8,839,3.8,55.9,9,74T,42,18.9,5,3,0,2016
27,Todd Gurley,LA,RB,278,17.4,885,3.2,55.3,6,24T,48,17.3,2,0,2,2016
28,Doug Martin,TB,RB,144,18.0,421,2.9,52.6,3,17,23,16.0,0,0,1,2016
29,Ryan Mathews,PHI,RB,155,11.9,661,4.3,50.8,8,30,38,24.5,6,0,3,2016
30,Ameer Abdullah,DET,RB,18,9.0,101,5.6,50.5,0,24,6,33.3,1,0,0,2016
31,Terrance West,BAL,RB,193,12.1,774,4.0,48.4,5,41,35,18.1,5,1,2,2016
32,Cameron Artis-Payne,CAR,RB,36,12.0,144,4.0,48.0,2,14,5,13.9,0,0,0,2016
33,Rob Kelley,WAS,RB,168,11.2,704,4.2,46.9,6,66,29,17.3,4,2,0,2016
34,Rashad Jennings,NYG,RB,181,13.9,593,3.3,45.6,3,25,29,16.0,3,0,0,2016
35,Bilal Powell,NYJ,RB,131,8.2,722,5.5,45.1,3,35T,45,34.4,4,0,0,2016
36,Dion Lewis,NE,RB,64,9.1,283,4.4,40.4,0,15,14,21.9,0,0,1,2016
37,Tevin Coleman,ATL,RB,118,9.1,520,4.4,40.0,8,55T,24,20.3,5,1,1,2016
38,Chris Ivory,JAX,RB,117,10.6,439,3.8,39.9,3,42,21,17.9,2,2,5,2016
39,Thomas Rawls,SEA,RB,109,12.1,349,3.2,38.8,3,45T,21,19.3,1,1,0,2016
40,Justin Forsett,DEN,RB,43,10.8,155,3.6,38.8,1,64,6,14.0,1,1,2,2016
41,Mike Gillislee,BUF,RB,101,6.7,577,5.7,38.5,8,44T,39,38.6,7,1,0,2016
42,Devontae Booker,DEN,RB,174,10.9,612,3.5,38.2,4,18,30,17.2,0,0,2,2016
43,DeAngelo Williams,PIT,RB,98,10.9,343,3.5,38.1,4,17,20,20.4,0,0,0,2016
44,Jerick McKinnon,MIN,RB,159,10.6,539,3.4,35.9,2,36,21,13.2,2,0,0,2016
45,Theo Riddick,DET,RB,92,9.2,357,3.9,35.7,1,42,19,20.7,2,1,0,2016
46,Tim Hightower,NO,RB,133,8.3,548,4.1,34.2,4,30,32,24.1,4,0,0,2016
47,Giovani Bernard,CIN,RB,91,9.1,337,3.7,33.7,2,17,15,16.5,0,0,0,2016
48,DeAndre Washington,OAK,RB,87,6.2,467,5.4,33.4,2,30,19,21.8,7,0,1,2016
49,Derrick Henry,TEN,RB,110,7.3,490,4.5,32.7,5,22,29,26.4,1,0,0,2016
50,Paul Perkins,NYG,RB,112,8.0,456,4.1,32.6,0,22,22,19.6,2,0,1,2016
1,Ezekiel Elliott,DAL,RB,242,24.2,983,4.1,98.3,7,30,55,22.7,5,0,1,2017
2,Dalvin Cook,MIN,RB,74,18.5,354,4.8,88.5,2,33,15,20.3,4,0,1,2017
3,Todd Gurley,LA,RB,279,18.6,"1,305",4.7,87.0,13,57T,66,23.7,8,1,5,2017
4,Le'Veon Bell,PIT,RB,321,21.4,"1,291",4.0,86.1,9,27,74,23.1,3,0,2,2017
5,Kareem Hunt,KC,RB,272,17.0,"1,327",4.9,82.9,8,69T,60,22.1,12,3,1,2017
6,Leonard Fournette,JAX,RB,268,20.6,"1,040",3.9,80.0,9,90T,46,17.2,4,2,2,2017
7,Adrian Peterson,ARI,RB,129,21.5,448,3.5,74.7,2,27T,15,11.6,2,0,3,2017
8,LeSean McCoy,BUF,RB,287,17.9,"1,138",4.0,71.1,6,48T,55,19.2,12,1,3,2017
9,Mark Ingram,NO,RB,230,14.4,"1,124",4.9,70.2,12,72,50,21.7,11,3,2,2017
10,Jordan Howard,CHI,RB,276,17.2,"1,122",4.1,70.1,9,53,61,22.1,5,3,1,2017
11,Melvin Gordon,LAC,RB,284,17.8,"1,105",3.9,69.1,8,87T,58,20.4,5,1,1,2017
12,Alex Collins,BAL,RB,212,14.1,973,4.6,64.9,6,50,51,24.1,6,1,2,2017
13,C.J. Anderson,DEN,RB,245,15.3,"1,007",4.1,62.9,3,40,47,19.2,7,1,1,2017
14,Devonta Freeman,ATL,RB,196,14.0,865,4.4,61.8,7,44,48,24.5,5,1,4,2017
15,Frank Gore,IND,RB,261,16.3,961,3.7,60.1,3,21,49,18.8,1,0,3,2017
16,Marshawn Lynch,OAK,RB,207,13.8,891,4.3,59.4,7,51T,44,21.3,5,1,1,2017
17,Carlos Hyde,SF,RB,240,15.0,938,3.9,58.6,8,61,44,18.3,6,1,2,2017
18,Jay Ajayi,PHI,RB,70,10.0,408,5.8,58.3,1,71,14,20.0,4,2,2,2017
19,Dion Lewis,NE,RB,180,11.2,896,5.0,56.0,6,44,48,26.7,7,1,0,2017
20,Lamar Miller,HOU,RB,238,14.9,888,3.7,55.5,3,21,43,18.1,1,0,1,2017
21,Stevan Ridley,PIT,RB,26,13.0,108,4.2,54.0,1,21,6,23.1,1,0,0,2017
22,Isaiah Crowell,CLE,RB,206,12.9,853,4.1,53.3,2,59,38,18.4,5,1,1,2017
23,Latavius Murray,MIN,RB,216,13.5,842,3.9,52.6,8,46,42,19.4,7,1,1,2017
24,Chris Carson,SEA,RB,49,12.2,208,4.2,52.0,0,30,11,22.4,1,0,0,2017
25,Bilal Powell,NYJ,RB,178,11.9,772,4.3,51.5,5,75T,30,16.9,9,4,0,2017
26,Orleans Darkwa,NYG,RB,171,11.4,751,4.4,50.1,5,75T,33,19.3,6,2,1,2017
27,LeGarrette Blount,PHI,RB,173,10.8,766,4.4,47.9,2,68,30,17.3,7,1,1,2017
28,Derrick Henry,TEN,RB,176,11.0,744,4.2,46.5,5,75T,39,22.2,5,2,1,2017
29,Alvin Kamara,NO,RB,120,7.5,728,6.1,45.5,8,74T,40,33.3,5,1,1,2017
30,Jonathan Stewart,CAR,RB,198,13.2,680,3.4,45.3,6,60T,41,20.7,1,1,3,2017
31,Joe Mixon,CIN,RB,178,12.7,626,3.5,44.7,4,25,35,19.7,2,0,1,2017
32,DeMarco Murray,TEN,RB,184,12.3,659,3.6,43.9,6,75T,29,15.8,3,1,1,2017
33,Mike Gillislee,NE,RB,104,11.6,383,3.7,42.6,5,16,25,24.0,0,0,1,2017
34,Tevin Coleman,ATL,RB,156,10.4,628,4.0,41.9,5,52,27,17.3,6,1,1,2017
35,Marcus Murphy,BUF,RB,7,7.0,41,5.9,41.0,0,25,2,28.6,1,0,0,2017
36,Kenyan Drake,MIA,RB,133,8.3,644,4.8,40.2,3,66T,24,18.0,7,3,2,2017
37,Mike Davis,SEA,RB,68,11.3,240,3.5,40.0,0,33,12,17.6,3,0,0,2017
38,Ameer Abdullah,DET,RB,165,11.8,552,3.3,39.4,4,34,24,14.5,5,0,2,2017
39,Alfred Morris,DAL,RB,115,8.2,547,4.8,39.1,1,70,25,21.7,4,1,0,2017
40,Samaje Perine,WAS,RB,175,10.9,603,3.4,37.7,1,30,22,12.6,1,0,2,2017
41,Aaron Jones,GB,RB,81,6.8,448,5.5,37.3,4,46T,21,25.9,6,1,0,2017
42,Javorius Allen,BAL,RB,153,9.6,591,3.9,36.9,4,37,38,24.8,1,0,0,2017
43,Doug Martin,TB,RB,138,12.5,406,2.9,36.9,3,27,21,15.2,1,0,1,2017
44,Wayne Gallman,NYG,RB,111,8.5,476,4.3,36.6,0,24,19,17.1,2,0,3,2017
45,Jerick McKinnon,MIN,RB,150,9.4,570,3.8,35.6,3,58T,23,15.3,2,1,2,2017
46,Jamaal Williams,GB,RB,153,9.6,556,3.6,34.8,4,25,32,20.9,1,0,0,2017
47,Ty Montgomery,GB,RB,71,8.9,273,3.8,34.1,3,37T,13,18.3,1,0,0,2017
48,Tion Green,DET,RB,42,8.4,165,3.9,33.0,2,33,9,21.4,1,0,0,2017
49,D'Onta Foreman,HOU,RB,78,7.8,327,4.2,32.7,2,39,13,16.7,3,0,2,2017
50,Matt Forte,NYJ,RB,103,8.6,381,3.7,31.8,2,20,12,11.7,1,0,1,2017
