Rk,Player,Team,Pos,FGM,FG Att,FG_Pct,Blk,Lng,1-19_A-M,1-19_Pct,20-29_A-M,20-29_Pct,30-39_A-M,30-39_Pct,40-49_A-M,40-49_Pct,50+_A-M,50+_Pct,XPM,XP Att,XP_Pct,Blk,YEAR
2,Justin Tucker,BAL,K,33,40,82,0,52,0-0,0,10-10,100,9-9,100,11-10,91,10-4,40,29,29,100,0,2015.0
5,Dan Bailey,DAL,K,30,32,94,0,54,0-0,0,9-9,100,10-10,100,7-6,86,6-5,83,25,25,100,0,2015.0
5,Josh Brown,NYG,K,30,32,94,0,53,1-1,100,6-6,100,12-12,100,10-8,80,3-3,100,44,45,98,0,2015.0
5,Graham Gano,CAR,K,30,36,83,4,52,1-1,100,10-10,100,5-4,80,16-13,81,4-2,50,56,59,95,1,2015.0
5,Brandon McManus,DEN,K,30,35,86,0,57,0-0,0,12-12,100,8-8,100,8-5,62,7-5,71,35,36,97,0,2015.0
5,Cairo Santos,KC,K,30,37,81,1,53,0-0,0,8-7,88,10-10,100,11-9,82,8-4,50,39,41,95,0,2015.0
10,Chris Boswell,PIT,K,29,32,91,0,51,1-1,100,9-9,100,8-8,100,12-9,75,2-2,100,26,27,96,0,2015.0
10,Stephen Hauschka,SEA,K,29,31,94,1,54,0-0,0,9-9,100,7-7,100,9-7,78,6-6,100,40,44,91,2,2015.0
12,Chandler Catanzaro,ARI,K,28,31,90,0,47,1-1,100,12-12,100,9-9,100,7-6,86,2-0,0,53,58,91,0,2015.0
12,Travis Coons,CLE,K,28,32,88,4,47,0-0,0,11-11,100,10-10,100,9-7,78,2-0,0,22,24,92,0,2015.0
14,Josh Lambo,SD,K,26,32,81,0,54,0-0,0,4-4,100,7-7,100,16-11,69,5-4,80,28,32,88,1,2015.0
14,Jason Myers,JAC,K,26,30,87,1,58,0-0,0,10-9,90,8-8,100,8-6,75,4-3,75,32,39,82,0,2015.0
16,Dustin Hopkins,WAS,K,25,28,89,1,54,0-0,0,7-7,100,9-9,100,8-7,88,4-2,50,39,40,98,0,2015.0
16,Adam Vinatieri,IND,K,25,27,93,0,55,0-0,0,8-7,88,6-6,100,8-8,100,5-4,80,32,35,91,1,2015.0
18,Mason Crosby,GB,K,24,28,86,1,56,1-1,100,7-7,100,4-4,100,11-8,73,5-4,80,36,36,100,0,2015.0
18,Phil Dawson,SF,K,24,27,89,2,54,0-0,0,10-9,90,6-6,100,8-6,75,3-3,100,20,21,95,1,2015.0
20,Connor Barth,TB,K,23,28,82,0,53,0-0,0,9-9,100,8-8,100,6-3,50,5-3,60,25,26,96,0,2015.0
20,Dan Carpenter,BUF,K,23,27,85,0,52,0-0,0,5-5,100,9-8,89,8-7,88,5-3,60,34,40,85,0,2015.0
20,Mike Nugent,CIN,K,23,28,82,1,52,0-0,0,6-6,100,6-5,83,13-10,77,3-2,67,48,49,98,1,2015.0
23,Matt Prater,DET,K,22,24,92,0,59,0-0,0,3-3,100,9-8,89,6-6,100,6-5,83,36,39,92,1,2015.0
24,Sebastian Janikowski,OAK,K,21,26,81,1,56,0-0,0,7-7,100,6-5,83,8-5,62,5-4,80,38,39,97,0,2015.0
25,Greg Zuerlein,STL,K,20,30,67,3,61,1-1,100,2-2,100,10-9,90,8-5,62,9-3,33,26,28,93,1,2015.0
26,Nick Novak,HOU,K,18,21,86,0,51,0-0,0,6-6,100,6-6,100,4-4,100,5-2,40,29,31,94,0,2015.0
26,Caleb Sturgis,PHI,K,18,22,82,0,53,0-0,0,4-4,100,10-8,80,4-4,100,4-2,50,35,37,95,0,2015.0
28,Matt Bryant,ATL,K,14,18,78,0,47,1-1,100,4-4,100,4-3,75,9-6,67,0-0,0,26,26,100,0,2015.0
28,Randy Bullock,NYJ,K,14,17,82,0,49,0-0,0,4-4,100,4-4,100,8-6,75,1-0,0,19,20,95,0,2015.0
28,Ryan Succop,TEN,K,14,16,88,0,51,0-0,0,3-3,100,3-3,100,7-7,100,3-1,33,29,31,94,1,2015.0
31,Nick Folk,NYJ,K,13,16,81,0,55,0-0,0,2-2,100,6-6,100,6-3,50,2-2,100,19,19,100,0,2015.0
31,Andrew Franks,MIA,K,13,16,81,0,53,1-1,100,3-3,100,4-4,100,6-4,67,2-1,50,33,36,92,0,2015.0
33,Shayne Graham,ATL,K,11,13,85,1,54,0-0,0,2-2,100,4-4,100,4-2,50,3-3,100,8,8,100,0,2015.0
34,Kai Forbath,NO,K,9,13,69,2,57,0-0,0,3-2,67,4-3,75,3-2,67,3-2,67,33,34,97,0,2015.0
35,Kyle Brindza,TB,K,6,12,50,0,58,0-0,0,2-1,50,3-2,67,3-1,33,4-2,50,6,8,75,0,2015.0
35,Josh Scobee,PIT,K,6,10,60,0,45,0-0,0,2-2,100,1-1,100,7-3,43,0-0,0,6,7,86,0,2015.0
37,Cody Parkey,PHI,K,3,4,75,0,46,0-0,0,1-1,100,1-1,100,2-1,50,0-0,0,7,7,100,0,2015.0
38,Zach Hocker,STL,K,1,1,100,0,35,0-0,0,0-0,0,1-1,100,0-0,0,0-0,0,1,1,100,0,2015.0
1,Justin Tucker,BAL,K,38,39,97,1,57,0-0,0,4-4,100,11-10,91,14-14,100,10-10,100,27,27,100,0,2016.0
2,Nick Novak,HOU,K,35,41,85,0,53,1-1,100,12-12,100,11-11,100,11-8,73,6-3,50,22,25,88,1,2016.0
2,Caleb Sturgis,PHI,K,35,41,85,1,55,0-0,0,12-12,100,12-12,100,11-7,64,6-4,67,30,31,97,0,2016.0
4,Matt Bryant,ATL,K,34,37,92,1,59,0-0,0,12-12,100,8-7,88,9-9,100,8-6,75,56,57,98,0,2016.0
4,Dustin Hopkins,WAS,K,34,42,81,0,53,0-0,0,12-12,100,14-12,86,9-7,78,7-3,43,36,39,92,0,2016.0
6,Stephen Hauschka,SEA,K,33,37,89,1,53,0-0,0,13-11,85,13-13,100,10-8,80,1-1,100,29,35,83,5,2016.0
7,Matt Prater,DET,K,31,36,86,0,58,0-0,0,10-10,100,5-4,80,14-10,71,7-7,100,31,33,94,1,2016.0
7,Cairo Santos,KC,K,31,35,89,0,54,0-0,0,9-8,89,17-15,88,7-6,86,2-2,100,36,39,92,1,2016.0
9,Graham Gano,CAR,K,30,38,79,0,54,0-0,0,4-4,100,11-9,82,17-14,82,6-3,50,31,34,91,2,2016.0
10,Sebastian Janikowski,OAK,K,29,35,83,0,56,1-1,100,9-9,100,6-6,100,11-10,91,8-3,38,37,39,95,1,2016.0
10,Brandon McManus,DEN,K,29,34,85,0,55,0-0,0,9-9,100,10-10,100,9-7,78,6-3,50,32,33,97,1,2016.0
12,Wil Lutz,NO,K,28,34,82,2,57,1-1,100,7-7,100,11-9,82,8-8,100,7-3,43,49,50,98,1,2016.0
13,Dan Bailey,DAL,K,27,32,84,0,56,0-0,0,9-9,100,8-8,100,9-7,78,6-3,50,46,46,100,0,2016.0
13,Nick Folk,NYJ,K,27,31,87,3,51,0-0,0,13-12,92,11-10,91,3-3,100,4-2,50,24,26,92,0,2016.0
13,Stephen Gostkowski,NE,K,27,32,84,0,53,0-0,0,9-9,100,9-7,78,10-9,90,4-2,50,46,49,94,0,2016.0
13,Jason Myers,JAX,K,27,34,79,2,56,0-0,0,7-7,100,4-3,75,11-10,91,12-7,58,29,32,91,0,2016.0
13,Adam Vinatieri,IND,K,27,31,87,0,54,0-0,0,3-3,100,7-7,100,12-10,83,9-7,78,44,44,100,0,2016.0
18,Mason Crosby,GB,K,26,30,87,1,53,1-1,100,6-6,100,15-13,87,6-5,83,2-1,50,44,47,94,0,2016.0
18,Josh Lambo,SD,K,26,32,81,1,47,0-0,0,7-7,100,14-13,93,8-6,75,3-0,0,42,46,91,3,2016.0
20,Mike Nugent,CIN,K,23,29,79,0,47,0-0,0,9-9,100,10-9,90,7-5,71,3-0,0,23,29,79,0,2016.0
21,Roberto Aguayo,TB,K,22,31,71,1,43,0-0,0,5-5,100,15-13,87,10-4,40,1-0,0,32,34,94,0,2016.0
21,Ryan Succop,TEN,K,22,24,92,0,53,1-1,100,4-4,100,6-6,100,8-8,100,5-3,60,39,41,95,1,2016.0
23,Chris Boswell,PIT,K,21,25,84,1,49,0-0,0,2-2,100,9-8,89,12-11,92,2-0,0,36,36,100,0,2016.0
23,Chandler Catanzaro,ARI,K,21,28,75,1,60,1-1,100,6-5,83,7-6,86,8-6,75,6-3,50,43,47,92,1,2016.0
25,Cody Parkey,CLE,K,20,25,80,0,51,0-0,0,6-6,100,6-6,100,12-7,58,1-1,100,20,21,95,0,2016.0
26,Dan Carpenter,BUF,K,19,25,76,0,54,1-1,100,8-8,100,5-5,100,9-4,44,2-1,50,40,45,89,1,2016.0
26,Greg Zuerlein,LA,K,19,22,86,0,54,0-0,0,5-5,100,9-9,100,4-3,75,4-2,50,23,23,100,0,2016.0
28,Connor Barth,CHI,K,18,23,78,1,54,0-0,0,8-7,88,8-7,88,4-3,75,3-1,33,31,32,97,0,2016.0
28,Phil Dawson,SF,K,18,21,86,0,53,0-0,0,4-4,100,6-6,100,9-7,78,2-1,50,33,34,97,0,2016.0
30,Andrew Franks,MIA,K,16,21,76,2,55,0-0,0,10-8,80,6-6,100,3-1,33,2-1,50,41,42,98,0,2016.0
31,Kai Forbath,MIN,K,15,15,100,0,51,0-0,0,5-5,100,5-5,100,4-4,100,1-1,100,11,14,79,1,2016.0
32,Blair Walsh,MIN,K,12,16,75,1,50,1-1,100,1-1,100,6-5,83,6-4,67,2-1,50,15,19,79,0,2016.0
33,Josh Brown,NYG,K,11,12,92,0,48,1-1,100,3-3,100,3-3,100,4-4,100,1-0,0,9,9,100,0,2016.0
34,Robbie Gould,NYG,K,10,10,100,0,47,0-0,0,3-3,100,3-3,100,4-4,100,0-0,0,20,23,87,0,2016.0
35,Randy Bullock,CIN,K,5,6,83,0,43,0-0,0,4-4,100,0-0,0,2-1,50,0-0,0,6,6,100,0,2016.0
36,Patrick Murray,CLE,K,1,2,50,0,35,0-0,0,0-0,0,1-1,100,0-0,0,1-0,0,3,4,75,1,2016.0
1,Robbie Gould,SF,K,39,41,95,1,52,0-0,0,8-7,88,11-11,100,18-17,94,4-4,100,28,30,93,1,2017.0
2,Harrison Butker,KC,K,38,42,90,0,53,0-0,0,8-8,100,17-16,94,12-10,83,5-4,80,28,28,100,0,2017.0
2,Greg Zuerlein,LA,K,38,40,95,0,56,1-1,100,8-8,100,12-11,92,12-12,100,7-6,86,44,46,96,0,2017.0
4,Stephen Gostkowski,NE,K,37,40,92,0,62,0-0,0,16-16,100,9-9,100,11-8,73,4-4,100,45,47,96,0,2017.0
5,Chris Boswell,PIT,K,35,38,92,1,53,0-0,0,10-10,100,14-12,86,10-9,90,4-4,100,37,39,95,1,2017.0
5,Ryan Succop,TEN,K,35,42,83,1,52,0-0,0,10-10,100,7-7,100,20-16,80,5-2,40,31,33,94,1,2017.0
7,Matt Bryant,ATL,K,34,39,87,2,57,1-1,100,6-6,100,13-10,77,10-9,90,9-8,89,35,35,100,0,2017.0
7,Justin Tucker,BAL,K,34,37,92,1,57,0-0,0,7-7,100,11-11,100,12-11,92,7-5,71,39,39,100,0,2017.0
9,Phil Dawson,ARI,K,32,40,80,2,57,1-1,100,7-7,100,14-10,71,13-10,77,5-4,80,23,26,88,2,2017.0
9,Kai Forbath,MIN,K,32,38,84,1,53,0-0,0,8-8,100,14-12,86,7-6,86,9-6,67,34,39,87,2,2017.0
11,Wil Lutz,NO,K,31,36,86,0,53,0-0,0,10-10,100,5-4,80,16-13,81,5-4,80,47,50,94,2,2017.0
12,Matt Prater,DET,K,30,35,86,0,58,2-2,100,4-4,100,10-10,100,8-7,88,11-7,64,40,41,98,0,2017.0
13,Graham Gano,CAR,K,29,30,97,0,48,0-0,0,8-8,100,11-11,100,10-10,100,1-0,0,34,37,92,1,2017.0
13,Stephen Hauschka,BUF,K,29,33,88,0,56,0-0,0,6-6,100,9-9,100,9-7,78,9-7,78,29,29,100,0,2017.0
13,Adam Vinatieri,IND,K,29,34,85,1,54,0-0,0,11-11,100,10-7,70,7-6,86,6-5,83,22,24,92,0,2017.0
16,Jake Elliott,PHI,K,26,31,84,0,61,0-0,0,5-5,100,7-4,57,13-12,92,6-5,83,39,42,93,0,2017.0
17,Chandler Catanzaro,NYJ,K,25,30,83,1,57,1-1,100,6-6,100,4-4,100,17-12,71,2-2,100,29,29,100,0,2017.0
18,Brandon McManus,DEN,K,24,32,75,2,53,0-0,0,8-6,75,12-11,92,6-4,67,6-3,50,27,27,100,0,2017.0
19,Cody Parkey,MIA,K,21,23,91,0,54,0-0,0,6-6,100,8-8,100,7-6,86,2-1,50,26,29,90,0,2017.0
19,Blair Walsh,SEA,K,21,29,72,0,49,0-0,0,6-6,100,10-7,70,12-8,67,1-0,0,37,38,97,0,2017.0
21,Ka'imi Fairbairn,HOU,K,20,25,80,0,55,0-0,0,4-3,75,10-8,80,7-6,86,4-3,75,32,35,91,0,2017.0
22,Josh Lambo,JAX,K,19,20,95,0,56,0-0,0,2-2,100,11-11,100,5-4,80,2-2,100,22,24,92,1,2017.0
22,Patrick Murray,TB,K,19,23,83,0,50,0-0,0,5-5,100,8-8,100,5-4,80,5-2,40,21,22,96,0,2017.0
24,Randy Bullock,CIN,K,18,20,90,1,51,0-0,0,6-6,100,8-7,88,5-4,80,1-1,100,31,33,94,0,2017.0
24,Aldrick Rosas,NYG,K,18,25,72,2,52,0-0,0,8-8,100,5-3,60,9-4,44,3-3,100,20,23,87,2,2017.0
26,Giorgio Tavecchio,OAK,K,16,21,76,1,53,0-0,0,5-5,100,7-5,71,5-3,60,4-3,75,33,34,97,0,2017.0
27,Dan Bailey,DAL,K,15,20,75,0,56,1-1,100,4-3,75,5-4,80,5-4,80,5-3,60,26,28,93,0,2017.0
27,Mason Crosby,GB,K,15,19,79,1,50,0-0,0,8-8,100,4-2,50,4-4,100,3-1,33,33,35,94,0,2017.0
27,Zane Gonzalez,CLE,K,15,20,75,0,54,0-0,0,5-5,100,6-4,67,6-4,67,3-2,67,25,26,96,0,2017.0
30,Dustin Hopkins,WAS,K,14,17,82,0,49,1-1,100,7-7,100,2-2,100,5-4,80,2-0,0,18,19,95,0,2017.0
31,Connor Barth,CHI,K,11,16,69,1,54,1-1,100,4-4,100,0-0,0,9-5,56,2-1,50,17,17,100,0,2017.0
31,Jason Myers,JAX,K,11,15,73,0,47,0-0,0,4-4,100,3-2,67,5-5,100,3-0,0,15,17,88,0,2017.0
33,Nick Novak,LAC,K,9,13,69,1,50,0-0,0,4-4,100,5-4,80,2-0,0,2-1,50,17,18,94,0,2017.0
34,Travis Coons,LAC,K,7,8,88,0,40,0-0,0,4-4,100,3-2,67,1-1,100,0-0,0,5,6,83,0,2017.0
35,Nick Folk,TB,K,6,11,54,0,50,0-0,0,2-2,100,2-1,50,5-2,40,2-1,50,7,9,78,0,2017.0
36,Mike Nugent,CHI,K,4,4,100,0,55,0-0,0,1-1,100,1-1,100,1-1,100,1-1,100,7,9,78,1,2017.0
37,Younghoe Koo,LAC,K,3,6,50,1,41,0-0,0,2-2,100,0-0,0,4-1,25,0-0,0,9,9,100,0,2017.0
37,Caleb Sturgis,PHI,K,3,3,100,0,50,0-0,0,0-0,0,1-1,100,1-1,100,1-1,100,1,2,50,0,2017.0
39,Sam Ficken,LA,K,2,3,67,0,23,0-0,0,2-2,100,1-0,0,0-0,0,0-0,0,4,5,80,0,2017.0
40,Nick Rose,LAC,K,1,3,33,1,25,0-0,0,1-1,100,0-0,0,1-0,0,1-0,0,5,6,83,1,2017.0
40,Cairo Santos,CHI,K,1,2,50,0,38,0-0,0,0-0,0,1-1,100,0-0,0,1-0,0,2,2,100,0,2017.0
42,Marshall Koehn,CIN,K,0,0,0,0,--,--,--,--,--,1,1,100,0,2017,,,,,,
