Rk,Player,Team,Pos,FGM,FG Att,FG_Pct,Blk,Lng,1-19_A-M,1-19_Pct,20-29_A-M,20-29_Pct,30-39_A-M,30-39_Pct,40-49_A-M,40-49_Pct,50+_A-M,50+_Pct,XPM,XP Att,XP_Pct,Blk,YEAR
5,Graham Gano,WAS,K,31,41,76,5,59,0-0,0,15-14,93,9-5,56,11-8,73,6-4,67,25,26,96,1,2011.0
5,Sebastian Janikowski,OAK,K,31,35,89,2,63,1-1,100,8-8,100,5-5,100,11-10,91,10-7,70,36,36,100,0,2011.0
7,Rob Bironas,TEN,K,29,32,91,0,53,0-0,0,5-5,100,10-9,90,10-9,90,7-6,86,34,34,100,0,2011.0
7,Dan Carpenter,MIA,K,29,34,85,1,58,0-0,0,11-10,91,7-6,86,12-11,92,4-2,50,26,26,100,0,2011.0
9,Billy Cundiff,BAL,K,28,37,76,0,51,1-1,100,9-9,100,12-10,83,9-7,78,6-1,17,38,38,100,0,2011.0
9,Stephen Gostkowski,NE,K,28,33,85,0,50,1-1,100,13-12,92,6-5,83,11-9,82,2-1,50,59,59,100,0,2011.0
9,Robbie Gould,CHI,K,28,32,88,0,57,0-0,0,10-10,100,6-6,100,10-6,60,6-6,100,37,37,100,0,2011.0
9,John Kasay,NO,K,28,34,82,0,53,0-0,0,11-11,100,10-10,100,8-5,62,5-2,40,63,63,100,0,2011.0
13,Matt Bryant,ATL,K,27,29,93,0,51,2-2,100,9-9,100,9-9,100,7-5,71,2-2,100,45,45,100,0,2011.0
13,Nick Novak,SD,K,27,34,79,0,53,0-0,0,11-11,100,5-4,80,11-8,73,7-4,57,41,42,98,1,2011.0
15,Connor Barth,TB,K,26,28,93,0,55,0-0,0,5-5,100,6-6,100,14-13,93,3-2,67,23,23,100,0,2011.0
16,Stephen Hauschka,SEA,K,25,30,83,2,52,2-2,100,6-5,83,10-9,90,8-7,88,4-2,50,34,34,100,0,2011.0
17,Mason Crosby,GB,K,24,28,86,0,58,1-1,100,5-4,80,14-14,100,5-3,60,3-2,67,68,69,99,1,2011.0
17,Phil Dawson,CLE,K,24,29,83,2,54,0-0,0,9-7,78,4-3,75,8-7,88,8-7,88,20,20,100,0,2011.0
17,Jason Hanson,DET,K,24,29,83,1,51,0-0,0,9-9,100,9-8,89,4-2,50,7-5,71,54,54,100,0,2011.0
17,Alex Henery,PHI,K,24,27,89,0,51,0-0,0,10-10,100,11-9,82,4-4,100,2-1,50,46,46,100,0,2011.0
17,Ryan Succop,KC,K,24,30,80,2,54,1-1,100,7-7,100,7-6,86,12-7,58,3-3,100,20,20,100,0,2011.0
22,Josh Scobee,JAC,K,23,25,92,0,55,1-1,100,5-5,100,5-5,100,8-7,88,6-5,83,24,24,100,0,2011.0
22,Shaun Suisham,PIT,K,23,31,74,1,51,2-2,100,8-8,100,8-6,75,11-6,54,2-1,50,36,36,100,0,2011.0
22,Adam Vinatieri,IND,K,23,27,85,1,53,0-0,0,7-7,100,7-6,86,10-8,80,3-2,67,24,24,100,0,2011.0
25,Ryan Longwell,MIN,K,22,28,79,1,53,0-0,0,7-7,100,8-7,88,10-6,60,3-2,67,38,39,97,0,2011.0
25,Olindo Mare,CAR,K,22,28,79,2,45,1-1,100,7-7,100,9-6,67,9-8,89,2-0,0,44,45,98,1,2011.0
27,Josh Brown,STL,K,21,28,75,1,49,0-0,0,7-7,100,7-6,86,12-8,67,2-0,0,18,18,100,0,2011.0
28,Jay Feely,ARI,K,19,24,79,0,51,0-0,0,9-9,100,6-4,67,7-5,71,2-1,50,33,33,100,0,2011.0
28,Nick Folk,NYJ,K,19,25,76,0,51,0-0,0,6-5,83,6-6,100,7-5,71,6-3,50,44,44,100,0,2011.0
28,Matt Prater,DEN,K,19,25,76,1,59,0-0,0,6-5,83,8-8,100,7-3,43,4-3,75,30,30,100,0,2011.0
28,Lawrence Tynes,NYG,K,19,24,79,2,50,0-0,0,12-12,100,4-3,75,5-3,60,3-1,33,43,43,100,0,2011.0
32,Rian Lindell,BUF,K,13,15,87,1,49,0-0,0,6-6,100,3-2,67,6-5,83,0-0,0,25,25,100,0,2011.0
33,Dave Rayner,BUF,K,10,15,67,0,56,0-0,0,6-5,83,4-3,75,1-0,0,4-2,50,13,13,100,0,2011.0
34,Shayne Graham,BAL,K,2,2,100,0,48,0-0,0,0-0,0,0-0,0,2-2,100,0-0,0,2,2,100,0,2011.0
35,Brandon Coutu,BUF,K,0,1,0,0,0,0-0,0,0-0,0,0-0,0,1-0,0,0-0,0,3,3,100,0,2011.0
1,Blair Walsh,MIN,K,35,38,92,1,56,0-0,0,10-10,100,9-8,89,9-7,78,10-10,100,36,36,100,0,2012.0
2,Matt Bryant,ATL,K,33,38,87,0,55,1-1,100,9-8,89,11-10,91,13-10,77,4-4,100,44,44,100,0,2012.0
2,Lawrence Tynes,NYG,K,33,39,85,1,50,0-0,0,11-11,100,16-14,88,9-7,78,3-1,33,46,46,100,0,2012.0
4,Jason Hanson,DET,K,32,36,89,0,53,1-1,100,3-3,100,10-10,100,19-16,84,3-2,67,38,38,100,0,2012.0
5,Shayne Graham,HOU,K,31,38,82,1,51,1-1,100,8-8,100,11-11,100,9-7,78,9-4,44,45,45,100,0,2012.0
5,Sebastian Janikowski,OAK,K,31,34,91,0,57,1-1,100,9-9,100,10-10,100,5-5,100,9-6,67,25,25,100,0,2012.0
7,Justin Tucker,BAL,K,30,33,91,0,56,0-0,0,8-8,100,8-8,100,13-10,77,4-4,100,42,42,100,0,2012.0
8,David Akers,SF,K,29,42,69,3,63,1-1,100,9-8,89,13-11,85,13-7,54,6-2,33,44,44,100,0,2012.0
8,Dan Bailey,DAL,K,29,31,94,0,51,1-1,100,5-5,100,13-13,100,7-7,100,5-3,60,37,37,100,0,2012.0
8,Phil Dawson,CLE,K,29,31,94,1,53,0-0,0,9-8,89,9-8,89,6-6,100,7-7,100,29,29,100,0,2012.0
8,Stephen Gostkowski,NE,K,29,35,83,0,53,0-0,0,8-8,100,12-10,83,13-9,69,2-2,100,66,66,100,0,2012.0
12,Connor Barth,TB,K,28,33,85,1,57,0-0,0,7-7,100,4-3,75,13-12,92,9-6,67,39,39,100,0,2012.0
